tconst,numVotes,averageRating
tt0057210,58,6.4
tt0057217,123,5.3
tt0057276,105,5.4
tt0057278,706,6.2
tt0057289,163,6.2
tt0057294,127,5.9
tt0057323,2794,7.4
tt0057327,426,8.0
tt0057336,3771,7.0
tt0057343,130,6.0
tt0057344,4198,7.3
tt0057345,36242,7.4
tt0057370,236,7.4
tt0057380,1828,6.1
tt0057391,176,5.3
tt0057414,693,5.8
tt0057422,2069,6.5
tt0057427,24361,7.6
tt0057444,529,6.9
tt0057469,413,5.7
tt0057484,112,5.2
tt0057529,30,6.5
tt0057532,819,7.0
tt0057536,186,6.2
tt0057549,619,7.2
tt0057563,81,4.9
tt0057591,6638,7.7
tt0057603,14043,7.0
tt0057616,739,6.9
tt0057619,275,7.0
tt0057635,180,5.6
tt0057651,81,7.0
tt0057656,202,7.1
tt0057657,158,7.2
tt0057660,127,6.3
tt0057664,655,7.4
tt0057718,1013,6.2
tt0057724,129,5.7
tt0057827,97,5.1
tt0057834,296,6.2
tt0057837,133,6.5
tt0057838,65,6.3
tt0057842,3063,7.7
tt0057846,3046,6.7
tt0057853,532,6.6
tt0057869,27235,7.6
tt0057870,2022,6.8
tt0057881,76,5.2
tt0057888,118,5.2
tt0057904,222,4.5
tt0057924,1196,5.7
tt0057930,208,7.0
tt0057936,613,6.3
tt0057966,111,5.1
tt0057967,8118,7.3
tt0057988,242,6.2
tt0057993,2839,6.8
tt0058000,203,5.1
tt0058003,17795,7.5
tt0058030,22,4.7
tt0058061,128,4.9
tt0058089,12211,6.9
